ITEM,NOMBRE COMEDOR,COORDENADAS,CUPOS,NICHO,NODO,COMUNA,COMUNA RUTA,DIA ENTREGA
351,CORAZONES FELICES,3.406962, -76.498233,100,9,1,15,15,5
49,CORAZONES LLENOS,3.478513, -76.493870,70,2,3,5,5,1
81,CORPOCOMAMOS,3.486831, -76.490648,80,2,3,6,6,1
279,CORPORACION PARA LA TERCERA EDAD,3.420066, -76.477698,120,7,3,14,14,4
514,CREANDO FUTURO CON AMOR,3.378,-76.56,80,4,11,18,18,6
490,CREANDO SONRISAS,3.393738, -76.547773,120,5,11,18,18,6
770,CREAR,3.4250833,-76.5095,70,4,8,11,11,2
385,CRECER FELIZ,3.411696, -76.490970,120,10,1,15,15,5
220,CRECIENDO CON AMOR,3.437316, -76.493132,50,5,6,13,13,3
287,CRECIENDO CON AMOR II,3.423745, -76.473634,120,6,5,14,14,4
90,CRECIENDO EN FAMILIA 1,3.448044, -76.483932,100,3,6,7,7,2
18,CREESER DE LA FUNDACION SIDOC ( ANTES CREESER PARA EL FUTURO),3.487245, -76.529540,200,2,1,2,2,1
610,CREI,3.433997, -76.471863,100,15,5,21,21,7
1,CRISTIANO LA PLAYITA,3.455846, -76.569967,100,1,2,1,1,1
784,CRISTO REINA,3.4039167, -76.4765833,70,3,14,21,21,6
291,CRISTO TE AMA,3.420222, -76.480253,60,7,2,14,14,4
707,CUBITA,3.4032778,-76.4741111,60,3,14,21,21,6
253,CUCHARITA DE AMOR,3.438,-76.479,60,7,1,14,14,4
792,CUCHARITA FELIZ,3.4393245,-76.4801346,50,7,1,14,14,4
275,CUEVA DE ADULAM,3.429227, -76.471361,100,6,1,14,14,4
288,CULTIVANDO BIENESTAR Y COSECHANDO SUEÑOS,3.425994, -76.481386,50,7,4,14,14,4
241,DANA MARIA,3.419911, -76.474287,120,6,4,14,14,4
560,DANIEL MEMORY,3.427853, -76.553680,70,13,1,20,20,7
404,DAR SIN CONDICION,3.407297, -76.502634,70,9,2,15,15,5
400,DE MENOS A MAS,3.408920, -76.491419,120,10,1,15,15,5
652,DECEPAZ VIVE +,3.428063, -76.461691,80,15,2,21,21,7
601,DEJANDO HUELLA,3.422268, -76.561537,100,12,3,20,20,7
91,DEJANDO HUELLAS CON AMOR,3.458302, -76.484255,80,3,5,7,7,2
384,DELICIAS DE LLANO VERDE,3.391576, -76.510033,120,8,1,15,15,5
374,DELICIAS DE MUJER ALGO DIFERENTE,3.408,-76.492,80,10,1,15,15,5
260,DESTELLO DE SABIDURIA,3.417938, -76.471642,80,6,3,14,14,4
635,DESTELLOS DE ESPERANZA,3.403480, -76.468963,100,5,14,21,21,6
298,DIFERENCIALMENTE UNIDOS,3.417642, -76.486130,70,10,4,14,14,4
669,DIOS CON NOSOTROS 1,3.436283, -76.464575,70,15,4,21,21,7
176,DIOS DE AMOR PARAISO,3.431490, -76.505448,50,4,1,12,12,2
296,DIOS ES AMOR ALFONSO BONILLA,3.424174, -76.483859,80,7,2,14,14,4
322,DIOS ES FIEL,3.425701, -76.503269,50,4,1,14,14,4
174,DIOS ES FIEL 12 DE OCTUBRE,3.427,-76.503,80,7,4,12,12,2
267,DOÑA DORIS,3.422769, -76.479485,100,7,3,14,14,4
802,DULCE AMOR,3.4232793, -76.5672178,50,12,2,20,20,7
636,DULCE ESPERANZA,3.410147, -76.468394,70,1,14,21,21,6
475,EDUMIPAZ,3.461097, -76.515355,80,3,1,4,4,1
88,EL AMOR DE DOÑA RUTH,3.444765, -76.484550,50,3,6,7,7,2
408,EL AMPARO,3.416091, -76.487782,80,10,4,15,15,5
44,EL AMPARO DE LA ALEGRIA,3.479712, -76.509471,100,2,2,4,4,1
521,EL ARBOL,3.380471, -76.561322,80,4,11,18,18,6
143,EL BUEN GUSTO LA INDEPENDENCIA,3.417899, -76.519627,100,4,7,11,11,2
281,EL BUEN GUSTO MANUELA BELTRAN,3.421346, -76.468682,100,6,5,14,14,4
723,EL BUEN SABOR,3.381930, -76.467335,60,5,14,51,51,6
77,EL BUEN SAMARITANO,3.474555, -76.478087,50,2,4,6,6,1
303,EL BUEN SAMARITANO II,3.412579, -76.474310,80,7,2,14,14,4
254,EL BUEN SAZON,3.436059, -76.475169,80,7,1,14,14,4
416,EL CAMBIO ES AHORA,3.398708, -76.513384,100,8,4,15,15,5
786,EL COMEDOR DEL ANCIANO,3.4303286,-76.485157,50,7,2,14,14,4
259,EL CORRIENTAZO PALMIRA,3.426397, -76.473672,80,6,2,14,14,4
98,EL EDEN,3.454642, -76.480368,80,3,4,7,7,2
697,EL EMPERADOR II,3.416561, -76.468241,50,15,1,21,21,7
720,EL ESTERO,3.359957, -76.483757,80,5,14,51,51,6
749,EL FILO,3.496281, -76.577029,50,1,3,62,1,1
367,EL FOGON POR LA PAZ,3.408028, -76.497936,40,9,2,15,15,5
517,EL JUSTO POR LA FE VIVIRA,3.379528, -76.559484,100,4,11,18,18,6
